PN-5564,Россия СЛО,Китай
MW-3880,Алтайские Авиалинии,Израиль
UU-7773,Сибирь,Кения
FK-6663,БАРКОЛ,Гаити
JZ-9276,Камчатское АП ОАО,Ангола
WV-6902,Северный Ветер,Греция
FZ-4655,Грозный Авиа ПАО,Аргентина
PK-5683,Россия Авиакомпания АО,Австрия
YI-9125,Алтайские Авиалинии,Камбоджа
LM-1853,КрасАвиа,Конго, Демократическая Республика
HM-9033,АЭРОКУЗБАСС,Вануату
QC-1334,КрасАвиа,Бельгия
IR-5971,Роствертол-Авиа, ЗАО,Аруба
QV-5810,МАЦ,Джерси
RQ-4842,БАРКОЛ,Колумбия
IK-4670,Авиакомпания СОКОЛ,Гренада
UU-8996,Летные  проверки и системы,Израиль
BM-2507,АЛРОСА Авиакомпания АО,Германия
RZ-3751,Ред Вингс АО,Кения
UR-4062,Костромское АП ОАО,Белиз
AF-9695,РусДжет,Бразилия
TO-2496,Авиакомпания СОКОЛ,Белиз
WU-2142,ВОЛГА-ДНЕПР,Испания
PO-7616,РКП «АК «Тува Авиа»,Индонезия
eV-9239,СКОЛ,Доминика
HK-8086,Нарьян-Марский ОАО,Гондурас
GG-4410,РОЯЛ ФЛАЙТ,Абхазия
RX-2267,Авиакомпания СОКОЛ,Виргинские острова, Британские
PT-5910,Камчатское АП ОАО,Гуам
JU-7704,Сибирь,Индия
WR-8936,Аэропорт Оренбург,Американское Самоа
YD-9806,Арт Авиа,Азербайджан
WM-1867,Космос,Корея, Народно-Демократическая Республика
BK-9643,АЭРОКУЗБАСС,Андорра
IY-2859,ВЗЛЕТ НПО, ЗАО,Бурунди
KV-6278,ИрАэро АК АО,Беларусь
KO-8402,СИБИА,Кокосовые (Килинг) острова
PJ-8545,РКП «АК «Тува Авиа»,Кокосовые (Килинг) острова
LV-9984,Россия Авиакомпания АО,Колумбия
QL-8241,ПАНХ АК ООО (Улан-Удэ),Германия
QP-5434,Костромское АП ОАО,Кокосовые (Килинг) острова
XA-2965,ВЗЛЕТ НПО, ЗАО,Гернси
FM-1327,Авиастар-ТУ,Бенин
BC-4016,АТРАН,Бразилия
VR-7291,Дальнереченск Авиа,Западная Сахара
FN-9130,Когалымавиа ООО,Кипр
WC-5336,ВИМ-АВИА,Йемен
DI-6550,АэроБратск,Индия
eS-3159,СЕВЕРСТАЛЬ АП ООО,Корея, Народно-Демократическая Республика
QJ-6472,Сибирь,Йемен
XR-6819,СИРИУС-АЭРО,Зимбабве
JK-9843,КрасАвиа,Джибути
VL-9528,СЕВЕРСТАЛЬ АП ООО,Бельгия
NG-7284,Сибирь,Гвинея
CQ-2949,Джет Эйр Групп,Бурунди
SB-6305,ИрАэро АК АО,Вануату
ZJ-9119,Дальнереченск Авиа,Бонайре, Саба и Синт-Эстатиус
Ze-3215,Меридиан,Бахрейн
IN-7894,Конверс Авиа,Ангилья
AM-7673,Нарьян-Марский ОАО,Доминика
ee-2449,Арт Авиа,Боливия, Многонациональное Государство
UG-4832,ВИМ-АВИА,Италия
XG-7771,Комиавиатранс ОАО,Конго, Демократическая Республика
FY-6472,СИБИА,Корея, Народно-Демократическая Республика
HW-3606,Джет Эйр Групп,Колумбия
PG-6667,РУССЭЙР,Бенин
YS-4058,ВЕКТОР АПК ООО,Гвинея-Бисау
WS-9059,СЕВЕРСТАЛЬ АП ООО,Армения
IZ-3224,Авиастар-ТУ,Болгария
MR-3412,Авиакомпания СОКОЛ,Замбия
TV-9805,Алтайские Авиалинии,Исландия
SL-4368,ВЕКТОР АПК ООО,Гватемала
IX-8831,АэроГео,Антигуа и Барбуда
SH-1502,ПАНХ НПК ОАО,Йемен
CW-4920,Аэропорт Оренбург,Австралия
XJ-5919,Дальнереченск Авиа,Бенин
XG-7475,МАЦ,Афганистан
IS-3752,СИБИА,Буркина-Фасо
UN-5815,МАЦ,Буркина-Фасо
HN-4599,Арт Авиа,Афганистан
SB-3474,АЭРОКУЗБАСС,Италия
eM-7294,Аэропорт Оренбург,Бруней-Даруссалам
XP-1849,ВЕКТОР АПК ООО,Греция
PM-3699,Ижавиа ОАО,Бразилия
HS-3592,Авиалифт Владивосток,Замбия
LN-6300,Оренбургские АЛ АО,Вьетнам
ZK-3557,Алтайские Авиалинии,Дания
BL-6469,Сибирь,Ботсвана
RV-5720,Победа,Бермуды
VT-3329,Ельцовка АП ЗАО,Вануату
DH-6986,Костромское АП ОАО,Бенин
XG-4711,Вертикаль-Т ООО,Доминиканская Республика
CS-9968,Нижневартовскавиа,Гуам
CI-3355,РУССЭЙР,Гернси
VF-3576,Авиасервис (Казань) (ИНН 1624446694),Кипр
YC-1956,Геликс,Виргинские острова, Британские
BN-5770,Ельцовка АП ЗАО,Джибути
CH-3045,Россия СЛО,Казахстан
NT-9487,СИМАРГЛ,Гренада
ZY-6930,Балтийские авиалинии,Исландия
UJ-6328,Норильск Авиа,Гренландия
PT-3032,АЭРОКУЗБАСС,Гибралтар
FF-8305,Икар ООО,Аруба
QK-2624,ИрАэро АК АО,Иран, Исламская Республика
NB-2134,РУССЭЙР,Израиль
WN-4593,Роствертол-Авиа, ЗАО,Зимбабве
PA-2596,МЧС России ФГУАП,Бразилия
GH-9126,Роствертол-Авиа, ЗАО,Корея, Республика
MX-8360,ТУРУХАН,Белиз
CH-7446,ДОНАВИА,Босния и Герцеговина
WT-3111,Псковавиа,Коморы
ZK-7606,Ай Флай,Венесуэла Боливарианская Республика
FL-6302,Абакан Эир,Кабо-Верде
JS-4444,Авиашельф,Гана
GS-3753,Меридиан,Конго, Демократическая Республика
PL-9428,АЛРОСА Авиакомпания АО,Гана
VF-4850,Амур,Иран, Исламская Республика
OB-9749,Аэросервис (Даг.),Ирландия
VU-8530,СИБИА,Буркина-Фасо
Pe-5126,Тулпар Эйр,Коста-Рика
NQ-9038,Геликс,Гвинея-Бисау
eZ-7636,СИМАРГЛ,Грузия
GX-1843,АТРАН,Гвинея-Бисау
TY-8600,АЛРОСА Авиакомпания АО,Гана
ZS-7085,ВИМ-АВИА,Вьетнам
IW-1824,Петрозаводск Аэропорт,Ирак
HH-1338,АэроБратск,Антарктида
KM-4325,АТРАН,Буркина-Фасо
WV-3892,Авиакон Цитотранс,Азербайджан
MY-5764,Сибирь,Индия
WW-5349,АРКТИКА,Виргинские острова, США
ZY-8430,Амур,Корея, Народно-Демократическая Республика
YL-1060,Дельта К,Гватемала
UG-8352,СИМАРГЛ,Зимбабве
eW-6969,АэроБратск,Гренландия
NN-6819,СИРИУС-АЭРО,Кокосовые (Килинг) острова
JT-2644,Геликс,Болгария
eN-7529,Икар ООО,Кабо-Верде
Ge-6011,Нижневартовскавиа,Гайана
NQ-4454,РКП «АК «Тува Авиа»,Иран, Исламская Республика
NN-7992,Глобус,Ирак
NH-8393,Балтийские авиалинии,Габон
IJ-6389,Аэропорт Оренбург,Исландия
Ve-7409,Амур,Албания
IH-8113,АэроГео,Замбия
Xe-3481,Авиакомпания СОКОЛ,Израиль
Se-4911,Авиашельф,Катар
NV-6372,ВЕКТОР АПК ООО,Британская территория в Индийском океане
XF-8847,Амур,Колумбия
NF-4188,Нижневартовскавиа,Индия
PI-9012,Авиалифт Владивосток,Гвинея-Бисау
QK-7073,РусДжет,Западная Сахара
eR-1586,Меридиан,Конго
CF-5374,МЧС России ФГУАП,Алжир
TB-8819,СИМАРГЛ,Ангилья
ZJ-7226,Нордавиа-регион.АЛ,Босния и Герцеговина
KH-6876,Нордавиа-регион.АЛ,Виргинские острова, Британские
NQ-4764,Таймыр ОАО,Азербайджан
DY-6433,Ангара АК ЗАО,Ирландия
ZQ-7534,Амурская авиабаза,Аруба
NY-3148,Аэросервис (Чита),Вануату
TP-4676,Когалымавиа ООО,Ирландия
Ze-5185,Меридиан,Йемен
OT-7715,Балтийские авиалинии,Гонконг
QV-6557,Нордавиа-регион.АЛ,Греция
eZ-7368,БАРКОЛ,Британская территория в Индийском океане
eH-5470,Аврора,Катар
NP-4212,РусЛайн,Испания
XC-9420,АЗУР эйр,Аруба
YA-2834,Вертикаль-Т ООО,Колумбия
BQ-8262,Джет Эйр Групп,Гондурас
XH-4429,Аэросервис (Чита),Ботсвана
DS-3783,Авиасервис (Казань) (ИНН 1624446694),Индия
MS-5482,БАРКОЛ,Кирибати
eF-4314,Меридиан,Индонезия
LT-1128,Аэролимузин,Гондурас
YB-8090,СКОЛ,Британская территория в Индийском океане
TB-6943,Ред Вингс АО,Венгрия
AZ-6199,Саратовские авиалинии,Кения
eB-3174,Авиакон Цитотранс,Гана
XW-1956,Алтайские Авиалинии,Бангладеш
UJ-5966,МАЦ,Бенин
ZK-9982,Аэропорт Оренбург,Багамы
KH-4983,Авиакомпания СОКОЛ,Гуам
PJ-8890,Сибирь,Аргентина
CV-6324,Геликс,Кабо-Верде
OS-9551,Амур,Израиль
AL-4823,СКОЛ,Киргизия
PV-6710,СиЛА,Ангола
HP-1796,БАРКОЛ,Гренландия
Ie-3941,АэроГео,Коста-Рика
UP-3125,Джет Эйр Групп,Коморы
SM-4314,Комиавиатранс ОАО,Гвинея
JO-7704,АЭРОКУЗБАСС,Йемен
YM-9021,Сибирь,Бахрейн
UR-4985,ЛУКОЙЛ-АВИА ООО,Гаити
VA-8436,Псковавиа,Гонконг
KA-3543,СИМАРГЛ,Виргинские острова, Британские
YD-5456,Сибирь,Доминика
AZ-3581,Сибирь,Грузия
LL-1597,МЧС России ФГУАП,Ирландия
OK-1118,Дальнереченск Авиа,Кокосовые (Килинг) острова
TK-7197,Уктус,Доминиканская Республика
FB-3940,Газпром авиа ООО,Киргизия
WH-5211,Ельцовка АП ЗАО,Колумбия
HW-3453,Когалымавиа ООО,Албания
OL-3000,ТУРУХАН,Корея, Республика
GQ-3398,Ельцовка АП ЗАО,Китай
HO-7328,Ангара АК ЗАО,Греция
JU-8557,Победа,name
SH-4326,РусДжет,Гренада
ZD-4975,Авиастар-ТУ,Йемен
AW-3897,Джет Эйр Групп,Кения
OL-3173,Авиашельф,Бельгия
VG-8654,Балтийские авиалинии,Катар
YW-4302,ВИМ-АВИА,Гвинея-Бисау
AA-5835,Северный Ветер,Андорра
FA-1260,РОЯЛ ФЛАЙТ,Доминика
VR-8513,Петрозаводск Аэропорт,Грузия
WP-3362,Аврора,Виргинские острова, США
KM-1351,Авиакомпания СОКОЛ,Австрия
GO-1764,Восток,Индонезия
SL-9561,Победа,Андорра
QF-8062,Псковавиа,Египет
XN-5374,Ижавиа ОАО,Казахстан
SP-3051,Вертикаль-Т ООО,Доминиканская Республика
AY-4913,СИБИА,Гернси
CW-5311,Газпром авиа ООО,Коморы
NS-7336,БАРКОЛ,Бутан
LN-4441,Роствертол-Авиа, ЗАО,Вьетнам
OS-5018,Авиасервис (Казань) (ИНН 1624446694),Аргентина
HD-9807,Камчатское АП ОАО,Конго, Демократическая Республика
QR-2711,Космос,Индонезия
RZ-1779,Авиалифт Владивосток,Гренада
IQ-5329,Саратовские авиалинии,Джибути
YT-4231,СИРИУС-АЭРО,Гренландия
PZ-2162,Ангара АК ЗАО,Иран, Исламская Республика
AY-2419,СИМАРГЛ,Гвинея
TY-5295,Грозный Авиа ПАО,Египет
MQ-7402,СИМАРГЛ,Болгария
JN-2494,РусДжет,Катар
JK-2779,Оренбургские АЛ АО,Вьетнам
ST-2812,РусДжет,Австрия
JF-1324,Дельта К,Гвинея-Бисау
TJ-4651,Победа,Алжир
Ye-9249,Икар ООО,Гваделупа
BK-7859,ВИМ-АВИА,Американское Самоа
NB-4310,Ред Вингс АО,Бермуды
TY-3939,Грозный Авиа ПАО,Болгария
WN-1727,Балтийские авиалинии,Гвинея-Бисау
UW-4527,Казанское авиапредприятие,Аруба
MW-5991,Джет Эйр Групп,Киргизия
BO-2090,Арго,Конго
IZ-4603,Универсал-Авиа ГУП РК,Гондурас
CZ-7012,Таймыр ОАО,name
WO-5691,Победа,Багамы
GR-4983,Псковавиа,Виргинские острова, Британские
XV-2459,Конверс Авиа,Гваделупа
BK-8992,ИрАэро АК АО,Аргентина
JX-3477,Сибирь,Белиз
OA-2854,Газпром авиа ООО,Иордания
KV-3083,Казанское авиапредприятие,Корея, Народно-Демократическая Республика
TL-4995,Тулпар Эйр,Гвинея
GZ-6858,Дельта К,Бангладеш
OM-4401,Восток,Кипр
OB-4344,Норильск Авиа,Израиль
IR-1516,Таймыр ОАО,name
eR-1776,ВЗЛЕТ НПО, ЗАО,Конго, Демократическая Республика
XP-7690,Летные  проверки и системы,Гана
CR-6211,РУССЭЙР,Конго, Демократическая Республика
QG-9138,ЛУКОЙЛ-АВИА ООО,name
RD-1094,ВЗЛЕТ НПО, ЗАО,Гуам
LS-1219,Космос,Виргинские острова, Британские
BM-6119,Северо-Запад,Канада
DF-4328,Северный Ветер,Американское Самоа
VO-7769,Ред Вингс АО,Гондурас
WU-1771,Арт Авиа,Западная Сахара
VC-5051,Уктус,Камбоджа
ST-5468,Нордавиа-регион.АЛ,Виргинские острова, США
SG-3553,Ельцовка АП ЗАО,Албания
MH-9076,Икар ООО,Афганистан
QQ-4594,АЭРОКУЗБАСС,Колумбия
DA-4359,Авиалифт Владивосток,Гибралтар
LP-5103,Грозный Авиа ПАО,Вьетнам
KR-2881,Аэросервис (Чита),Гуам
WG-3215,Икар ООО,Бельгия
SO-4336,ДОНАВИА,Ангола
OT-2336,Меридиан,Италия
CY-6739,МЧС России ФГУАП,Венесуэла Боливарианская Республика
XJ-5976,Абакан Эир,Гватемала
KB-8207,Победа,Гваделупа
TC-4875,Авиакон Цитотранс,Колумбия
AN-5629,Глобус,Ботсвана
ZM-5267,РусДжет,Германия
QD-9503,Уральские авиалинии,Конго
RU-4802,АэроБратск,Камерун
BP-7498,Арго,Колумбия
YA-8468,БАРКОЛ,Беларусь
YX-8092,Аэропорт Оренбург,Бруней-Даруссалам
IX-6374,АэроГео,Американское Самоа
FT-9487,ПАНХ НПК ОАО,Конго, Демократическая Республика
TD-7834,Газпром авиа ООО,Канада
GG-7502,Петрозаводск Аэропорт,Гонконг
RO-5542,Аэросервис (Чита),Барбадос
BN-5595,ВИТЯЗЬ-АЭРО АК ООО,Албания
VF-7426,Универсал-Авиа ГУП РК,Корея, Народно-Демократическая Республика
AF-3529,Аэролимузин,Армения
De-7911,Восток,Беларусь
CH-1235,ПАНХ АК ООО (Улан-Удэ),Бутан
QO-4131,АЛРОСА Авиакомпания АО,Камбоджа
Ie-8798,Россия Авиакомпания АО,Исландия
Ae-5142,Восток,Абхазия
YL-7445,Тулпар Эйр,Гренада
BW-3915,Амур,Западная Сахара
AW-8530,ПАНХ АК ООО (Улан-Удэ),Британская территория в Индийском океане
XO-3738,Космос,Зимбабве
RL-8016,ПАНХ АК ООО (Улан-Удэ),Грузия
SR-3452,Нарьян-Марский ОАО,Израиль
CT-2284,Сибирь,Западная Сахара
VM-8721,Авиалифт Владивосток,Антарктида
UC-1689,Авиасервис (Казань) (ИНН 1624446694),Вануату
Xe-3363,Костромское АП ОАО,Армения
OO-6353,ВЗЛЕТ НПО, ЗАО,Гайана
SA-7774,СИРИУС-АЭРО,Гибралтар
WJ-8553,Аэросервис (Чита),Йемен
LS-7358,Уктус,Беларусь
RS-8988,Сибирь,Американское Самоа
XT-7743,Авиашельф,Гаити
Pe-5775,Псковавиа,Конго
CY-3082,Аэросервис (Даг.),Гуам
PH-1014,АЛРОСА Авиакомпания АО,Австралия
YX-3114,Костромское АП ОАО,Западная Сахара
DT-6336,Летные  проверки и системы,Иордания
Ge-2660,РусЛайн,Камбоджа
CB-2605,Аэросервис (Чита),Венгрия
RF-2275,АэроБратск,Вануату
FD-4002,Газпром авиа ООО,Вануату
CT-4646,СЕВЕРСТАЛЬ АП ООО,Антигуа и Барбуда
Oe-8433,ИрАэро АК АО,Вьетнам
SQ-9955,ВИТЯЗЬ-АЭРО АК ООО,Азербайджан
VP-8604,Ред Вингс АО,Антигуа и Барбуда
XF-4957,Таймыр ОАО,Джибути
SA-8557,Глобус,Доминика
QG-6551,АЭРОКУЗБАСС,Гондурас
PX-5274,Камчатское АП ОАО,Бурунди
JT-4323,Космос,Бразилия
FK-2871,Газпром авиа ООО,Ирак
BI-6412,РусДжет,Канада
BJ-7566,Ельцовка АП ЗАО,Гренада
IW-5257,Нарьян-Марский ОАО,Болгария
OS-1835,Ангара АК ЗАО,Гондурас
WM-9114,РОЯЛ ФЛАЙТ,Аргентина
SY-6648,Глобус,Гватемала
MM-7182,РусЛайн,Йемен
TK-2736,ТУРУХАН,Бангладеш
Ge-4049,Арт Авиа,Беларусь
VF-3400,Универсал-Авиа ГУП РК,Западная Сахара
MC-7057,Нарьян-Марский ОАО,Доминика
IU-3702,Амурская авиабаза,Бенин
DP-6748,Уктус,Камерун
QJ-1393,ВИМ-АВИА,Гернси
UW-1023,АТРАН,Алжир
FD-6988,Вологодское АП,Гвинея-Бисау
NN-9414,Тулпар Эйр,Гондурас
IX-1423,Абакан Эир,Вьетнам
CJ-1474,Россия СЛО,Джерси
NU-5149,ВЕКТОР АПК ООО,Австралия
IJ-7072,Псковавиа,Британская территория в Индийском океане
MJ-8417,Когалымавиа ООО,Гватемала
MG-6806,Конверс Авиа,Италия
FA-1901,ВЗЛЕТ НПО, ЗАО,Гвинея-Бисау
DV-8764,Вертикаль-Т ООО,Гибралтар
HU-4402,Костромское АП ОАО,Западная Сахара
FI-9787,Дальнереченск Авиа,Греция
SL-9515,СИРИУС-АЭРО,Исландия
TM-2822,ДОНАВИА,Ангилья
FU-4984,РУССЭЙР,Барбадос
HN-8038,Аэросервис (Чита),Бутан
SN-1714,ПАНХ АК ООО (Улан-Удэ),Антигуа и Барбуда
OZ-8189,Псковавиа,Корея, Республика
ZG-3311,СиЛА,Китай
BO-4225,Амур,Индия
WO-5641,Авиалифт Владивосток,Беларусь
RJ-3838,Аэросервис (Даг.),Камбоджа
MC-3267,СЕВЕРСТАЛЬ АП ООО,Камбоджа
FK-8110,Победа,Гана
XZ-4524,Грозный Авиа ПАО,Ангола
KY-4324,Аэропорт Оренбург,Ирландия
GG-8968,Когалымавиа ООО,Бельгия
AS-6586,Глобус,Багамы
FN-8436,АРКТИКА,Британская территория в Индийском океане
AZ-4805,СИБИА,Гвинея
YA-7842,Авиакомпания «Лайт Эйр»,Аруба
CW-2059,СиЛА,Австралия
KY-6312,Уктус,Бруней-Даруссалам
GF-3923,Аэропорт Оренбург,Бельгия
GH-3171,Аэросервис (Чита),Гондурас
SV-4604,ПАНХ АК ООО (Улан-Удэ),Абхазия
UQ-5840,Ай Флай,Кабо-Верде
ZA-3820,Полярные авиалинии АО,Венгрия
FZ-5016,РусЛайн,Конго, Демократическая Республика
BO-1015,Вертикаль-Т ООО,Дания
XB-4584,ЛУКОЙЛ-АВИА ООО,Гуам
TG-5150,Летные  проверки и системы,Кения
XR-1639,Авиакомпания СОКОЛ,Виргинские острова, Британские
ZL-3550,БАРКОЛ,Беларусь
ZW-9618,Ай Флай,Бангладеш
ZP-6213,БАРКОЛ,Армения
OF-8162,Ай Флай,Колумбия
TB-2526,Петрозаводск Аэропорт,Абхазия
NM-5142,Джет Эйр Групп,Колумбия
BU-5108,Ельцовка АП ЗАО,Бельгия
FF-9799,Нордавиа-регион.АЛ,Йемен
FL-3280,РусЛайн,Беларусь
HD-2284,Петрозаводск Аэропорт,Доминиканская Республика
YQ-7026,Аэросервис (Чита),Замбия
SV-4779,Вертикаль-Т ООО,Белиз
UB-1935,Универсал-Авиа ГУП РК,Индия
RQ-2560,Нарьян-Марский ОАО,Кения
RR-2136,Нарьян-Марский ОАО,Ирландия
VB-3821,Алтайские Авиалинии,Абхазия
JR-7276,СКОЛ,Буркина-Фасо
PM-3790,Костромское АП ОАО,Ботсвана
GU-3630,ПАНХ АК ООО (Улан-Удэ),Джерси
DA-8189,ВЕКТОР АПК ООО,Испания
RZ-7705,Конверс Авиа,Бермуды
CH-9982,Аэросервис (Даг.),Габон
OT-2447,Бурал,Афганистан
WQ-5371,Тулпар Эйр,Египет
PL-9820,Авиакомпания «Лайт Эйр»,Исландия
MK-1816,Арго,Гибралтар
ND-8678,РКП «АК «Тува Авиа»,Гайана
eX-5768,Камчатское АП ОАО,Бонайре, Саба и Синт-Эстатиус
ID-3989,Авиасервис (Казань) (ИНН 1624446694),Бенин
RL-2182,Арго,Гваделупа
DQ-7589,Геликс,Белиз
HM-8212,Оренбургские АЛ АО,Антигуа и Барбуда
He-2391,АэроГео,Антигуа и Барбуда
VD-8572,РКП «АК «Тува Авиа»,Кокосовые (Килинг) острова
AO-7376,Россия СЛО,Беларусь
NF-2734,Джет Эйр Групп,Венгрия
GB-5749,СКОЛ,Коморы
HQ-1711,Уральские авиалинии,Ботсвана
CQ-1217,ПАНХ НПК ОАО,Гаити
KJ-3773,Когалымавиа ООО,Вьетнам
VF-7175,Тулпар Эйр,Азербайджан
NG-6473,Ельцовка АП ЗАО,Грузия
BS-5498,Газпром авиа ООО,Киргизия
BJ-1614,Аэролимузин,Испания
WS-4364,АЛРОСА Авиакомпания АО,Замбия
TO-4604,Нарьян-Марский ОАО,Бермуды
LS-9258,Арго,Аруба
YQ-9903,Ред Вингс АО,Бразилия
ML-6537,Россия Авиакомпания АО,Конго, Демократическая Республика
XN-7522,Амур,Исландия
QL-3218,ИрАэро АК АО,Коморы
JY-2950,Казанское авиапредприятие,Коста-Рика
WF-9001,ПАНХ НПК ОАО,Британская территория в Индийском океане
GP-1638,Россия Авиакомпания АО,Антигуа и Барбуда
QW-4764,ВЕКТОР АПК ООО,Кипр
JN-4592,Аэрофлот ПАО,Абхазия
OB-6044,РусДжет,Бурунди
LU-5416,АэроБратск,Вьетнам
FT-7015,Универсал-Авиа ГУП РК,Ангола
ZY-8035,Меридиан,Гвинея-Бисау
NP-1995,Вертикаль-Т ООО,Болгария
TZ-3345,Таймыр ОАО,Бенин
eD-3417,Джет Эйр Групп,Испания
SN-9222,АЛРОСА Авиакомпания АО,Джибути
XA-7704,Авиастар-ТУ,Кипр
OL-1621,МЧС России ФГУАП,Коморы
MH-4656,КрасАвиа,Бельгия
MQ-7859,Псковавиа,Киргизия
FN-4288,РУССЭЙР,Катар
GZ-8004,ВЕКТОР АПК ООО,Кирибати
KF-8306,КрасАвиа,Грузия
SC-9606,Авиакомпания «Лайт Эйр»,Грузия
QK-9543,ВЕКТОР АПК ООО,Гваделупа
IB-5899,Авиа Менеджмент Груп,Албания
OG-7908,Арт Авиа,Бутан
WL-5563,ИрАэро АК АО,Бенин
CT-2968,Универсал-Авиа ГУП РК,Гондурас
PB-9121,Алтайские Авиалинии,Андорра
MJ-7062,Ангара АК ЗАО,Доминиканская Республика
IN-2480,СКОЛ,Кабо-Верде
SB-4985,Полярные авиалинии АО,Белиз
BJ-2839,Нижневартовскавиа,Джибути
FG-6083,Костромское АП ОАО,Казахстан
ZA-9166,СиЛА,Бельгия
ST-6133,Вологодское АП,Конго, Демократическая Республика
HV-1601,Авиакомпания СОКОЛ,Багамы
AY-3067,Аврора,Доминика
KM-5087,Космос,Западная Сахара
JS-3839,Авиалифт Владивосток,Кипр
NW-3427,АэроГео,Венесуэла Боливарианская Республика
NY-8954,Россия Авиакомпания АО,Буркина-Фасо
JP-4729,Дельта К,Бермуды
AH-9048,Нордавиа-регион.АЛ,Беларусь
IR-3498,АЛРОСА Авиакомпания АО,Греция
JV-9118,Саратовские авиалинии,Джибути
IA-3660,РУССЭЙР,Виргинские острова, Британские
NT-6570,Оренбургские АЛ АО,Индия
OQ-5074,Аврора,Дания
CQ-9860,Северный Ветер,Гернси
QJ-4490,Победа,Бурунди
ZC-1068,Авиа Менеджмент Груп,Доминика
IC-8972,ЛУКОЙЛ-АВИА ООО,Азербайджан
QP-9578,АТРАН,Гваделупа
CX-7338,ДОНАВИА,Беларусь
eC-6381,Тулпар Эйр,Ангилья
YL-1020,СИМАРГЛ,Гамбия
TB-2467,Амур,Гайана
VR-3763,Аврора,Грузия
WJ-3281,Авиашельф,Гайана
UV-1973,Меридиан,Бразилия
DV-9917,Авиакон Цитотранс,Китай
SY-5974,СИМАРГЛ,Конго
DB-4676,АРКТИКА,Гайана
IC-7197,Камчатское АП ОАО,Камбоджа
QQ-6619,МЧС России ФГУАП,Гуам
YM-6572,Аэрофлот ПАО,Бонайре, Саба и Синт-Эстатиус
TO-6102,Аэрофлот ПАО,Испания
CD-8167,Конверс Авиа,Доминиканская Республика
DL-5352,ВЗЛЕТ НПО, ЗАО,Бангладеш
OR-9952,Нижневартовскавиа,Болгария
Ae-3249,Восток,Западная Сахара
MH-8511,Универсал-Авиа ГУП РК,Гамбия
XF-6966,СИБИА,Испания
BF-4080,Ред Вингс АО,Американское Самоа
KB-3625,Аэросервис (Чита),Виргинские острова, Британские
QL-6951,ИрАэро АК АО,Боливия, Многонациональное Государство
JP-6313,Камчатское АП ОАО,Испания
VO-5770,Ред Вингс АО,Израиль
WV-5740,Аэрофлот ПАО,Антарктида
XS-5546,АЗУР эйр,Бонайре, Саба и Синт-Эстатиус
GU-6863,МАЦ,Канада
XQ-5355,Алтайские Авиалинии,Барбадос
NA-3453,Таймыр ОАО,Индия
RO-6595,АТРАН,Ирландия
GY-1176,Аэросервис (Даг.),Корея, Народно-Демократическая Республика
CJ-2957,СИРИУС-АЭРО,Зимбабве
Ce-4429,АэроГео,Гватемала
SI-7900,Ай Флай,Казахстан
PH-2352,Северо-Запад,Австралия
TY-4375,Дельта К,Бермуды
eK-4385,Аврора,Гватемала
AD-8823,Авиа Менеджмент Груп,Киргизия
eR-7666,Уральские авиалинии,Замбия
PI-1059,Джет Эйр Групп,Бонайре, Саба и Синт-Эстатиус
YY-3007,СиЛА,Италия
VS-7027,Ангара АК ЗАО,Австрия
XR-9932,Вертикаль-Т ООО,Антигуа и Барбуда
VB-1676,АэроГео,Гренада
QL-8673,Аэросервис (Даг.),Гваделупа
FW-1033,Амур,Италия
eZ-9272,ВИТЯЗЬ-АЭРО АК ООО,Абхазия
FA-6459,Арт Авиа,Гамбия
KM-7323,Восток,Бахрейн
HD-4902,ВИТЯЗЬ-АЭРО АК ООО,Бутан
QR-6076,СЕВЕРСТАЛЬ АП ООО,Корея, Народно-Демократическая Республика
JV-7438,КрасАвиа,Замбия
TG-1608,Аэролимузин,Боливия, Многонациональное Государство
YQ-5135,Грозный Авиа ПАО,Кабо-Верде
LQ-2463,Меридиан,Индонезия
VH-8801,СИМАРГЛ,Кения
DL-8004,Нарьян-Марский ОАО,Гвинея
PB-2737,Уктус,Ботсвана
TA-7567,Ижавиа ОАО,Кабо-Верде
RQ-1061,Оренбургские АЛ АО,Бельгия
TP-9171,Победа,Гернси
MD-1382,Геликс,Австралия
LG-6902,Джет Эйр Групп,Бонайре, Саба и Синт-Эстатиус
NZ-5850,АТРАН,Гренада
BV-1357,Победа,Ирландия
CR-8578,Авиакон Цитотранс,Вьетнам
YC-6878,Арт Авиа,Австрия
FB-8087,Ижавиа ОАО,Канада
DO-1132,Авиастар-ТУ,Беларусь
KI-6531,Универсал-Авиа ГУП РК,Бурунди
KU-8599,Ижавиа ОАО,Гонконг
IR-6330,Космос,Киргизия
LQ-1208,Ижавиа ОАО,Бангладеш
FL-3551,Таймыр ОАО,Джибути
SS-2161,МЧС России ФГУАП,Алжир
FB-3312,ДОНАВИА,Кирибати
CW-4771,ИрАэро АК АО,Гамбия
BS-9320,Камчатское АП ОАО,Албания
HD-5811,Универсал-Авиа ГУП РК,Италия
UC-1508,АРКТИКА,Иран, Исламская Республика
MH-4190,Нижневартовскавиа,Конго, Демократическая Республика
ST-8614,ЛУКОЙЛ-АВИА ООО,Абхазия
NY-2740,Летные  проверки и системы,Венгрия
GO-7180,МЧС России ФГУАП,Испания
RW-6564,МАЦ,Корея, Народно-Демократическая Республика
PV-8638,Амур,Боливия, Многонациональное Государство
